project,region,sector_code,investment_usd,db_used,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Construction,22.5,3861.0,214.2,13.5,10.8,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Energy_Utilities,7.5,741.0,27.0,7.92,4.8,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Health_Social,11.25,1197.0,145.8,8.1,7.875,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Manufacturing,16.5,5016.0,95.04,20.295,6.93,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Mining_Extraction,3.75,864.0,18.9,5.4,2.1,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Transport_Logistics,6.0,840.0,46.8,2.808,3.6,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Water_Waste,6.0,462.0,56.16,40.8,4.14,13172.25,629.4,104.073,41.385
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Agriculture,1.5195,193.74,25.83,5.3182,1.15482,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Construction,2.90625,498.71,27.67,1.7438,1.395,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Energy_Utilities,4.8825,482.39,17.58,5.1559,3.1248,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Health_Social,3.66,389.42,47.43,2.6352,2.562,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Manufacturing,8.73,2653.92,50.28,10.7379,3.6666,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Mining_Extraction,6.5955,1519.6,33.24,9.4975,3.69348,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Transport_Logistics,3.85125,539.17,30.04,1.8024,2.31075,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,1,Water_Waste,2.082,160.31,19.49,14.1576,1.43658,19609.51,880.96,155.122,60.729
hospitals_P3,Europe,Health_General,75000000.0,benchmark,2,Agriculture,0.75729,96.55,12.87,2.6505,0.57554,22505.86,993.31,178.525,69.423
hospitals_P3,Europe,Health_General,75000000.0,benchmark,2,Construction,1.30777,224.41,12.45,0.7847,0.62773,22505.86,993.31,178.525,69.423
hospitals_P3,Europe,Health_General,75000000.0,benchmark,2,Energy_Utilities,2.1658,213.98,7.8,2.2871,1.38612,22505.86,993.31,178.525,69.423
hospitals_P3,Europe,Health_General,75000000.0,benchmark,2,Health_Social,1.43525,152.71,18.6,1.0334,1.00467,22505.86,993.31,178.525,69.423
hospitals_P3,Europe,Health_General,75000000.0,benchmark,2,Manufacturing,3.78592,1150.92,21.81,4.6567,1.59009,22505.86,993.31,178.525,69.423
